State,Unit,TrueValue,NominalFinal,NominalError,NominalSigma,NominalAbsZ,NominalWithin3Sigma,HighVFinal,HighVError,HighVSigma,HighVAbsZ,HighVWithin3Sigma
lambda_Ax,m/s^2,0.02,0.020088879883056,8.8879883055986e-05,0.000275119973347172,0.323058635018945,1,0.0200888628302581,8.88628302581282e-05,0.000275128692252328,0.322986416031918,1
lambda_Ay,m/s^2,0.02,0.0203102257507228,0.000310225750722766,0.000275302947281271,1.12685226869662,1,0.020314806028654,0.000314806028654004,0.00027530443716904,1.14348330848263,1
lambda_Az,m/s^2,0.03,0.0303019034960876,0.000301903496087576,0.000389579149484613,0.77494777758762,1,0.0303031343468454,0.000303134346845362,0.000389578612162496,0.778108287728387,1
lambda_p,deg/s,0.005,0.00490949730267584,-9.05026973241603e-05,7.55100347672943e-05,1.19855192231165,1,0.00490893742070636,-9.10625792936428e-05,7.55129210464817e-05,1.20592049720325,1
lambda_q,deg/s,0.005,0.00488889492360182,-0.000111105076398175,7.479364748864e-05,1.48548814142338,1,0.00488841325130199,-0.000111586748698006,7.48450561019639e-05,1.4909034011009,1
lambda_r,deg/s,0.002,0.00182193309380951,-0.000178066906190489,4.15013389867273e-05,4.29063038779151,0,0.00182247309725449,-0.000177526902745512,4.16754861023921e-05,4.25974402096589,0
W_x,m/s,6,5.99991268753491,-8.73124650890844e-05,0.0028604075116073,0.0305244846179356,1,5.99854421456694,-0.00145578543306346,0.0113691057713948,0.128047487844319,1
W_y,m/s,2,2.00247768792007,0.00247768792007452,0.00387163473166136,0.639959110763355,1,2.00207717689412,0.00207717689412013,0.0059966263354329,0.346390916813757,1
W_z,m/s,10,10.0011044342393,0.00110443423933049,0.00204523991810676,0.540002289977227,1,10.0011323291891,0.00113232918905837,0.00207605173728607,0.545424359480854,1
