State,Unit,TrueFinal,NominalFinal,HighVFinal,NominalFinalError,HighVFinalError,NominalRMSE,HighVRMSE,HighV_to_Nominal_RMSE
x_E,m,4629.54010929181,4629.55019722999,4629.55020629273,0.0100879381816412,0.0100970009189041,0.0541005114675716,0.0541004627979222,0.999999100384671
y_E,m,1705.16690431627,1705.15989450232,1705.15990009413,-0.0070098139581205,-0.00700422214208629,0.0445401127818677,0.0445432685162264,1.00007085151253
z_E,m,621.954231168542,621.961081151731,621.961063142047,0.00684998318888574,0.00683197350463161,0.0433007429384212,0.0433000786724678,0.999984659248124
u,m/s,80.7122278258326,80.7096091548967,80.7105821188267,-0.00261867093588819,-0.00164570700592037,0.00724988733721256,0.137271880039158,18.9343466531628
v,m/s,0.340961345285795,0.336781319155328,0.335805198714471,-0.00418002613046703,-0.00515614657132424,0.014238710651643,0.0135353480281766,0.950602084649761
w,m/s,6.27926213577151,6.27779791076983,6.27805133863416,-0.00146422500167631,-0.00121079713734851,0.00583165668908387,0.0121612152078746,2.0853791394543
phi,deg,14.7107941941604,14.711659939014,14.7116667975017,0.000865744853577177,0.000872603341338079,0.0185820769702934,0.018581674574847,0.999978344969344
theta,deg,2.18520424649982,2.18488004893604,2.1848726163261,-0.000324197563776024,-0.000331630173716922,0.00197136686004323,0.00191202649008665,0.969898870088908
psi,deg,62.903822365328,62.9055848305773,62.9055658354166,0.00176246524937121,0.00174347008859908,0.00440383629683555,0.00442976846827956,1.00588854119365
lambda_Ax,m/s^2,0.02,0.020088879883056,0.0200888628302581,8.8879883055986e-05,8.88628302581282e-05,0.00269622234023225,0.0026540115604573,0.984344473693769
lambda_Ay,m/s^2,0.02,0.0203102257507228,0.020314806028654,0.000310225750722766,0.000314806028654004,0.00285690515523989,0.00241399700861534,0.844969250794972
lambda_Az,m/s^2,0.03,0.0303019034960876,0.0303031343468454,0.000301903496087576,0.000303134346845362,0.00241088267680078,0.0023638477736718,0.980490588122938
lambda_p,deg/s,0.005,0.00490949730267584,0.00490893742070636,-9.05026973241605e-05,-9.10625792936434e-05,0.00147930584263413,0.00146661177508946,0.991418902583342
lambda_q,deg/s,0.005,0.00488889492360182,0.00488841325130199,-0.000111105076398176,-0.000111586748698006,0.00216365995790416,0.0021293599607537,0.984147233013597
lambda_r,deg/s,0.002,0.00182193309380951,0.00182247309725449,-0.000178066906190489,-0.000177526902745512,0.00200032483285282,0.00198012173292932,0.989900090429473
W_x,m/s,6,5.99991268753491,5.99854421456694,-8.73124650890844e-05,-0.00145578543306346,0.0777135020059721,0.139531127992381,1.79545541496326
W_y,m/s,2,2.00247768792007,2.00207717689412,0.00247768792007452,0.00207717689412013,0.0284161759037695,0.0283650420817401,0.998200538235596
W_z,m/s,10,10.0011044342393,10.0011323291891,0.00110443423933049,0.00113232918905837,0.129163579253825,0.129164326501512,1.00000578528167
