State,Unit,FinalError,FinalSigma,FinalAbsZ,MeanSquaredNormalizedError,Coverage1Sigma,Coverage2Sigma,Coverage3Sigma
x_E,m,0.0100970009189041,0.0136452331771205,0.739965436122713,1.51616599946997,0.510083036773428,0.92238603626504,0.998644297576682
y_E,m,-0.00700422214208629,0.0136453907385141,0.513303156817408,1.36546391106114,0.421115065243179,0.994746653109642,1
z_E,m,0.00683197350463161,0.0136445120608992,0.500712189203881,0.283109539899143,0.953736654804271,1,1
u,m/s,-0.00164570700592037,0.00943078675936602,0.174503681178664,0.175697431610156,0.99322148788341,1,1
v,m/s,-0.00515614657132424,0.00870120773899065,0.592578263385119,0.50275929120408,0.902050499915269,0.977800372818166,0.992204711065921
w,m/s,-0.00121079713734851,0.00371083956091044,0.326286576790575,0.229052586071654,0.960345704117946,1,1
phi,deg,0.000872603341338079,0.00149767416106612,0.582638977170387,109.254846812916,0.64328079986443,0.81986104050161,0.845110998135909
theta,deg,-0.000331630173716922,0.00143767720898252,0.23067081514885,0.772505601736165,0.837824097610575,0.956448059650907,0.982884256905609
psi,deg,0.00174347008859908,0.00118923786600049,1.46603983815494,6.62109256843804,0.380782918149466,0.56176919166243,0.892052194543298
lambda_Ax,m/s^2,8.88628302581282e-05,0.000275128692252328,0.322986416031918,0.436988544810539,0.860193187595323,1,1
lambda_Ay,m/s^2,0.000314806028654004,0.00027530443716904,1.14348330848263,1.03621248051505,0.497373326554821,1,1
lambda_Az,m/s^2,0.000303134346845362,0.000389578612162496,0.778108287728387,0.325182017414097,0.933570581257414,0.99644128113879,1
lambda_p,deg/s,-9.10625792936434e-05,7.55129210464817e-05,1.20592049720326,5.9100843821562,0.361464158617184,0.904084053550246,0.928147771564142
lambda_q,deg/s,-0.000111586748698006,7.48450561019639e-05,1.49090340110091,2.24342859044259,0.291645483816302,0.835960006778512,1
lambda_r,deg/s,-0.000177526902745512,4.16754861023921e-05,4.2597440209659,12.3261180523029,0.333502796136248,0.385019488222335,0.393662091170988
W_x,m/s,-0.00145578543306346,0.0113691057713948,0.128047487844319,0.157886954573818,0.991865785460092,1,1
W_y,m/s,0.00207717689412013,0.0059966263354329,0.346390916813757,0.31883277926489,0.942552109811896,1,1
W_z,m/s,0.00113232918905837,0.00207605173728607,0.545424359480854,0.192617395132114,0.94339942382647,1,1
