Response,Parameter,Initial_OLS,Final_RLS,Combined_batch_OLS,RLS_variance,RLS_standard_error,RLS_CI95_low,RLS_CI95_high,RLS_t_statistic,RLS_p_normal,HAC_variance,HAC_standard_error,HAC_CI95_low,HAC_CI95_high,HAC_t_statistic,HAC_p_normal
CY,1,0.000111740694092,-0.000562521351554,-0.000562521351554,1.60999427374e-08,0.000126885549758,-0.00081121702908,-0.000313825674029,-4.43329719284,9.28028024543e-06,1.19542153298e-07,0.000345748685172,-0.00124018877449,0.000115146071383,-1.62696598911,0.103744321384
CY,beta,-0.865234351704,-0.774416974832,-0.774416974832,9.18259723923e-05,0.00958258693633,-0.793198845227,-0.755635104436,-80.8150220788,0,0.00119127988872,0.0345149226961,-0.842066223316,-0.706767726347,-22.4371638219,1.70795796274e-111
CY,pb/(2V),0.00495285276896,-0.0322586870086,-0.0322586870086,0.000177848103468,0.013335970286,-0.0583971887691,-0.00612018524811,-2.41892313172,0.0155665293117,0.00157352567344,0.0396676905483,-0.110007360483,0.0454899864661,-0.813223219267,0.416090089179
CY,rb/(2V),3.18566430411,2.38681327319,2.38681327319,0.00745785871381,0.0863588948158,2.21754983935,2.55607670703,27.6383026703,3.85784824198e-168,0.0789849457723,0.281042604906,1.83596976758,2.93765677881,8.49270975834,2.01874005504e-17
CY,delta_a,-0.0185713286047,-0.0345690417252,-0.0345690417253,9.75370771413e-06,0.00312309265218,-0.0406903033235,-0.028447780127,-11.0688492386,1.77667379419e-28,6.04401450702e-05,0.00777432602032,-0.0498067207251,-0.0193313627254,-4.44656445265,8.72544960148e-06
Cl,1,6.90547845525e-05,-0.000381962571476,-0.000381962571476,8.72401467689e-09,9.34024339988e-05,-0.000565031342114,-0.000198893800838,-4.08942845623,4.32437421359e-05,6.31157893895e-08,0.000251228560059,-0.000874370549192,0.000110445406241,-1.52037877933,0.128415804706
Cl,beta,-0.233398362603,-0.190891513884,-0.190891513884,4.97573900687e-05,0.00705389183846,-0.204717141888,-0.177065885881,-27.0618714116,2.76898227889e-161,0.00136282695278,0.0369164861922,-0.263247826821,-0.118535200948,-5.17090150158,2.32967347582e-07
Cl,pb/(2V),-0.117927179242,-0.132803444725,-0.132803444725,9.63698747391e-05,0.00981681591653,-0.152044403922,-0.113562485529,-13.5281588098,1.06661733653e-41,0.00310216160332,0.0556970520164,-0.241969666677,-0.023637222773,-2.38438911787,0.0171075026025
Cl,rb/(2V),1.56394870577,1.21507249955,1.21507249955,0.00404116150837,0.0635701306304,1.09047504352,1.33966995559,19.1138902422,1.9349221387e-81,0.0759534259926,0.275596491256,0.674903376692,1.75524162242,4.40888232654,1.03905459783e-05
Cl,delta_a,-0.0953249769446,-0.103919139925,-0.103919139925,5.28520446563e-06,0.00229895725615,-0.108425096147,-0.0994131837027,-45.2027281702,0,0.000160593305375,0.0126725413937,-0.128757321056,-0.0790809587931,-8.20033935547,2.39709373256e-16
Cn,1,1.33863381565e-05,0.00018879962483,0.00018879962483,3.71837263604e-10,1.9283082316e-05,0.00015100478349,0.000226594466169,9.79094637134,1.23137884934e-22,9.21797541446e-09,9.60102880657e-05,6.19460220915e-07,0.000376979789439,1.96645201919,0.0492464195654
Cn,beta,0.137519824528,0.10377826416,0.10377826416,2.12077265485e-06,0.00145628728445,0.100923941082,0.106632587237,71.2622195277,0,0.000100270416734,0.0100135117084,0.0841517812114,0.123404747108,10.3638231204,3.62189394473e-25
Cn,pb/(2V),-0.0554176569168,-0.0427105134994,-0.0427105134994,4.10750231906e-06,0.00202669739208,-0.0466828403879,-0.0387381866109,-21.0739470364,1.37940083019e-98,0.000122928463834,0.0110873109379,-0.0644416429377,-0.0209793840611,-3.85219768243,0.000117062457458
Cn,rb/(2V),-1.00849022304,-0.714378998831,-0.714378998831,0.000172243455875,0.0131241554347,-0.740102343483,-0.688655654179,-54.4323787068,0,0.00651268978314,0.0807012378042,-0.872553424928,-0.556204572735,-8.85214425786,8.58536306629e-19
Cn,delta_a,-0.00395754037622,-9.37571563186e-05,-9.37571563178e-05,2.25267384211e-07,0.000474623413046,-0.00102401904589,0.000836504733252,-0.19754009967,0.843404904611,4.05670120892e-06,0.00201412542035,-0.00404144298021,0.00385392866758,-0.0465498103401,0.962872034176
