Metric,Term_1,Term_2,Value
Normalized_condition_number,,,8.90008146537
VIF,beta,,9.83184246702
VIF,pb/(2V),,14.0207244908
VIF,rb/(2V),,11.9653220662
VIF,delta_a,,7.13180665413
Regressor_correlation,beta,pb/(2V),0.177798057985
Regressor_correlation,beta,rb/(2V),0.704386274113
Regressor_correlation,beta,delta_a,0.0411639481433
Regressor_correlation,pb/(2V),rb/(2V),-0.511577169752
Regressor_correlation,pb/(2V),delta_a,-0.90292149457
Regressor_correlation,rb/(2V),delta_a,0.612977513583
CY_parameter_correlation,1,beta,0.16194733549
CY_parameter_correlation,1,pb/(2V),-0.089477255559
CY_parameter_correlation,1,rb/(2V),-0.403320053799
CY_parameter_correlation,1,delta_a,0.314367937973
CY_parameter_correlation,beta,pb/(2V),-0.851594211948
CY_parameter_correlation,beta,rb/(2V),-0.958749268284
CY_parameter_correlation,beta,delta_a,-0.490397295788
CY_parameter_correlation,pb/(2V),rb/(2V),0.768232626731
CY_parameter_correlation,pb/(2V),delta_a,0.801745728122
CY_parameter_correlation,rb/(2V),delta_a,0.337908154283
CY_most_certain,beta,,22.4371638219
CY_least_certain,pb/(2V),,0.813223219267
Cl_parameter_correlation,1,beta,0.287243519195
Cl_parameter_correlation,1,pb/(2V),-0.0828811592066
Cl_parameter_correlation,1,rb/(2V),-0.430659483656
Cl_parameter_correlation,1,delta_a,0.219422754456
Cl_parameter_correlation,beta,pb/(2V),-0.831668626969
Cl_parameter_correlation,beta,rb/(2V),-0.980608167131
Cl_parameter_correlation,beta,delta_a,-0.517316453588
Cl_parameter_correlation,pb/(2V),rb/(2V),0.767744976506
Cl_parameter_correlation,pb/(2V),delta_a,0.887477289723
Cl_parameter_correlation,rb/(2V),delta_a,0.431326878027
Cl_most_certain,delta_a,,8.20033935547
Cl_least_certain,pb/(2V),,2.38438911787
Cn_parameter_correlation,1,beta,0.108571215588
Cn_parameter_correlation,1,pb/(2V),-0.107174910909
Cn_parameter_correlation,1,rb/(2V),-0.340107779544
Cn_parameter_correlation,1,delta_a,0.226097560273
Cn_parameter_correlation,beta,pb/(2V),-0.858922715741
Cn_parameter_correlation,beta,rb/(2V),-0.962797657834
Cn_parameter_correlation,beta,delta_a,-0.569350442766
Cn_parameter_correlation,pb/(2V),rb/(2V),0.798062751407
Cn_parameter_correlation,pb/(2V),delta_a,0.833624445251
Cn_parameter_correlation,rb/(2V),delta_a,0.449915813211
Cn_most_certain,beta,,10.3638231204
Cn_least_certain,delta_a,,0.0465498103401
